plate,row,col,well,Ab,gene
2,C,12,C12,HPA040674,PMPCB
2,D,12,D12,HPA040677,NAT8L
2,E,12,E12,HPA040716,ZMIZ2
2,F,12,F12,HPA041090,OCIAD2
2,G,12,G12,HPA041213,NDUFA13
2,H,12,H12,ctrl,ctrl
3,A,1,A01,HPA041350,CIAPIN1
3,B,1,B01,HPA041391,IVD
3,C,1,C01,HPA041394,ATP5PO
3,D,1,D01,HPA041458,ACADSB
3,E,1,E01,HPA041465,IDH3A
3,F,1,F01,HPA041600,NDUFA8
3,G,1,G01,HPA041624,PGF
3,H,1,H01,HPA041634,NT5DC3
3,A,2,A02,HPA041690,ABAT
3,B,2,B02,HPA041715,CCDC184
3,C,2,C02,HPA041776,CARS2
3,D,2,D02,HPA041863,UQCRFS1
3,E,2,E02,HPA041894,CTU2
3,F,2,F02,HPA041981,SDHA
3,G,2,G02,HPA042303,ACAA2
3,H,2,H02,HPA042559,HDGFL2
3,A,3,A03,HPA042719,DTYMK
3,B,3,B03,HPA042768,NDUFB9
3,C,3,C03,HPA042777,ATP5PD
3,D,3,D03,HPA043227,ECI1
3,E,3,E03,HPA043289,EARS2
3,F,3,F03,HPA043300,TRMU
3,G,3,G03,HPA043888,HADH
3,H,3,H03,HPA043922,PC
3,A,4,A04,HPA044001,NDUFB6
3,B,4,B04,HPA044229,DNAJA3
3,C,4,C04,HPA044393,FDXR
3,D,4,D04,HPA044556,NDUFC1
3,E,4,E04,HPA044629,AP001267.5
3,F,4,F04,HPA044840,MGST1
3,G,4,G04,HPA044849,DLD
3,H,4,H04,HPA044855,ZNF875
3,A,5,A05,HPA045119,MPC1
3,B,5,B05,HPA045177,FKBP8
3,C,5,C05,HPA045198,RAD51C
3,D,5,D05,HPA045709,SLC25A3
3,E,5,E05,HPA045745,HSDL1
3,F,5,F05,HPA046084,HNRNPLL
3,G,5,G05,HPA046393,BOLA3
3,H,5,H05,HPA046615,FBXW5
3,A,6,A06,HPA046629,ZNFX1
3,B,6,B06,HPA046705,SUCLG2
3,C,6,C06,HPA046767,MRPL54
3,D,6,D06,HPA046917,HEATR1
3,E,6,E06,HPA047238,MRPL36
3,F,6,F06,HPA047377,SS18L2
3,G,6,G06,HPA047541,MYH10
3,H,6,H06,HPA047792,PCCA
3,A,7,A07,HPA047864,PDHA1;PDHA2
3,B,7,B07,HPA048085,SDC3
3,C,7,C07,HPA048093,DDX49
3,D,7,D07,HPA048105,SFXN3
3,E,7,E07,HPA048199,CLPX
3,F,7,F07,HPA048392,TTLL1
3,G,7,G07,HPA048479,MRPS9
3,H,7,H07,HPA048989,PLEKHJ1
3,A,8,A08,HPA049387,IDH3B
3,B,8,B08,HPA049449,SLC25A42
3,C,8,C08,HPA049582,PUS10
3,D,8,D08,HPA049763,FRAT2
3,E,8,E08,HPA049871,AC253536.7
3,F,8,F08,HPA050406,AC004556.3;MRPL23
3,G,8,G08,HPA050724,HIVEP1
3,H,8,H08,HPA050928,ZC2HC1C
3,A,9,A09,HPA051143,C2orf68
3,B,9,B09,HPA051147,CAMTA2
3,C,9,C09,HPA051162,PCK2
3,D,9,D09,HPA051514,GPT2
3,E,9,E09,HPA051739,NDUFB4
3,F,9,F09,HPA051965,CCDC58
3,G,9,G09,HPA052351,SIRT1
3,H,9,H09,HPA052643,RNF10
3,A,10,A10,HPA053044,TEFM
3,B,10,B10,HPA053323,UQCRQ
3,C,10,C10,HPA053334,NDUFB6
3,D,10,D10,HPA053502,PCK2
3,E,10,E10,HPA053585,DDX28
3,F,10,F10,HPA053915,DHRS2
3,G,10,G10,HPA053928,MT-ND4
3,H,10,H10,HPA054364,NDUFAB1
3,A,11,A11,HPA054448,CPOX
3,B,11,B11,HPA054807,MAOA
3,C,11,C11,HPA055140,NDUFS2
3,D,11,D11,HPA055205,GADD45GIP1
